Title,Price,Odometer,Transmission,Engine
2018 BMW X3 xDrive30i G01 Auto 4x4,"$69,900 ","46,861 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Volkswagen Tiguan 162TSI Highline 5N Auto 4MOTION MY17,"$42,888* ","70,862 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Volkswagen Tiguan 110TSI Trendline 5N Auto 2WD MY17,"$27,990* ","56,783 km",Automatic,4cyl 1.4L Turbo Petrol
2017 Nissan X-TRAIL ST T32 Auto 2WD,"$22,880* ","137,324 km",Automatic,4cyl 2.5L Petrol
2021 Audi Q5 40 TDI S Line Auto quattro ultra MY21,"$98,888 ",288 km,Automatic,4cyl 2.0L Turbo Diesel
2019 Volkswagen Tiguan 162TSI Highline Allspace 5N Auto 4MOTION MY20,"$69,880* ","27,098 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Nissan Pathfinder Ti R52 Series II Auto 4WD MY17,"$39,999* ","75,000 km",Automatic,6cyl 3.5L Petrol
2018 Audi SQ7 TDI Auto 4WD MY19,"$126,500* ","41,050 km",Automatic,8cyl 4.0L Diesel
2018 Ford Everest Trend UA II Auto 4WD MY19,"$55,990* ","48,245 km",Automatic,4cyl 2.0L Turbo Diesel
2018 Subaru Outback 2.5i Premium 5GEN Auto AWD MY18,"$38,500* ","22,243 km",Automatic,4cyl 2.5L Petrol
2019 Hyundai Kona Go Auto 2WD MY19,"$28,388* ","8,230 km",Automatic,4cyl 2.0L Petrol
2010 Toyota RAV4 Cruiser Auto 4x2,"$12,999* ","217,819 km",Automatic,4cyl 2.4L Petrol
2016 Mitsubishi Outlander Exceed ZK Auto 4WD MY16,"$25,990* ","84,951 km",Automatic,4cyl 2.4L Petrol
2020 BMW X5 M50i G05 Auto 4x4,"$165,000 ","8,978 km",Automatic,8cyl 4.4L Turbo Petrol
2018 BMW X1 sDrive18d F48 Auto,"$48,985* ","8,960 km",Automatic,4cyl 2.0L Turbo Diesel
2017 Toyota Landcruiser VX Auto 4x4,"$103,990* ","103,345 km",Automatic,8cyl 4.5L Turbo Diesel
2010 Toyota Landcruiser Prado VX Auto 4x4,"$45,990* ","127,800 km",Automatic,6cyl 4.0L Petrol
2021 Suzuki Jimny Manual 4x4,"$38,890* ",739 km,Manual,4cyl 1.5L Petrol
2018 Mercedes-Benz GLC-Class GLC63 AMG S Auto 4MATIC+,"$141,900* ","15,431 km",Automatic,8cyl 4.0L Turbo Petrol
2012 Jeep Patriot Limited Auto 4x4 MY12,"$14,999* ","102,324 km",Automatic,4cyl 2.4L Petrol
2020 Mitsubishi Pajero Sport Exceed QF Auto 4x4 MY20,"$63,888* ","15,246 km",Automatic,4cyl 2.4L Turbo Diesel
2016 Mitsubishi Outlander LS Safety Pack ZK Auto 2WD MY17,"$21,990* ","100,841 km",Automatic,4cyl 2.0L Petrol
2003 Nissan Patrol ST GU III Manual 4x4 MY03,"$18,500* ","273,000 km",Manual,4cyl 3.0L Turbo Diesel
